Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2021-04-30,2765.21,2765.22,2806.5,2698.32,2708.51,606781.0,56.7
2021-05-01,2949.73,2951.25,2955.64,2741.38,2764.07,606781.0,184.52
2021-05-02,2936.48,2936.79,2959.75,2853.71,2949.29,606781.0,-13.25
2021-05-03,3287.16,3288.41,3342.23,2928.21,2968.64,615080.0,350.68
2021-05-04,3404.91,3407.13,3534.55,3167.8,3287.16,433781.0,117.75
2021-05-05,3465.44,3465.86,3492.9,3209.68,3404.12,407002.0,60.53
2021-05-06,3467.67,3468.09,3616.1,3381.53,3468.0,501950.0,2.23
2021-05-07,3500.93,3503.1,3595.0,3355.19,3466.75,426340.0,33.26
2021-05-08,3848.59,3850.95,3871.5,3427.42,3500.93,426340.0,347.66
2021-05-09,3910.34,3911.01,3989.1,3730.24,3850.0,426340.0,61.75
2021-05-10,3910.4,3912.4,4216.7,3665.31,3903.04,360553.0,0.06
2021-05-11,4143.45,4144.48,4146.1,3778.76,3902.54,288172.0,233.05
2021-05-12,4100.38,4102.85,4384.95,3933.96,4143.17,367530.0,-43.07
2021-05-13,3716.8,3719.04,4247.75,3529.0,4101.45,181559.0,-383.58
2021-05-14,3997.5,3997.95,4179.45,3611.0,3711.12,322721.0,280.7
2021-05-15,3790.5,3792.96,4144.55,3655.0,3986.29,322709.0,-207.0
2021-05-16,3356.98,3359.43,3886.95,3345.25,3791.03,322709.0,-433.52
2021-05-17,3441.43,3442.82,3590.42,3120.0,3468.88,292028.0,84.45
2021-05-18,3440.35,3440.4,3569.8,3194.74,3442.99,347531.0,-1.08
2021-05-19,2603.0,2603.8,3475.3,1790.5,3432.29,212179.0,-837.35
2021-05-20,2763.35,2765.57,3000.0,2161.13,2603.0,226255.0,160.35
2021-05-21,2252.54,2254.88,2947.35,2240.0,2763.68,311406.0,-510.81
2021-05-22,2361.49,2362.52,2492.4,2103.44,2252.26,311406.0,108.95
2021-05-23,1898.16,1900.49,2391.95,1731.0,2363.65,311406.0,-463.33
2021-05-24,2624.7,2625.76,2675.45,1877.77,1897.83,1112535.0,726.54
2021-05-25,2555.01,2556.3,2757.01,2385.93,2623.13,1284757.0,-69.69
2021-05-26,2799.32,2800.11,2915.72,2532.07,2554.4,1117341.0,244.31
2021-05-27,2721.22,2723.04,2894.05,2639.53,2799.32,1875966.0,-78.1
2021-05-28,2427.04,2428.92,2799.95,2420.01,2722.54,3642570.0,-294.18
2021-05-29,2236.57,2238.4,2580.0,2206.56,2427.04,3642571.0,-190.47
2021-05-30,2437.6,2439.39,2477.45,2181.79,2236.41,3642571.0,201.03
2021-05-31,2598.41,2600.6,2679.48,2273.38,2458.16,4831216.0,160.81
2021-06-01,2577.72,2579.76,2743.45,2525.65,2598.41,3909021.0,-20.69
2021-06-02,2721.64,2723.92,2804.0,2551.85,2577.85,3415603.0,143.92
2021-06-03,2822.15,2823.75,2893.8,2660.25,2722.07,2685091.0,100.51
2021-06-04,2702.25,2702.92,2873.25,2552.0,2823.42,1577742.0,-119.9
2021-06-05,2633.72,2634.98,2817.72,2579.42,2702.25,1577742.0,-68.53
2021-06-06,2710.76,2711.7,2749.15,2552.55,2633.38,1577742.0,77.04
2021-06-07,2658.26,2659.77,2848.95,2630.44,2690.81,1442724.0,-52.5
2021-06-08,2536.86,2538.0,2665.6,2306.22,2658.26,1904955.0,-121.4
2021-06-09,2561.38,2561.39,2628.37,2406.93,2537.11,1642262.0,24.52
2021-06-10,2468.98,2470.06,2629.2,2426.8,2560.51,1516163.0,-92.4
2021-06-11,2380.85,2382.37,2498.15,2367.08,2468.82,1325851.0,-88.13
2021-06-12,2408.35,2408.4,2455.75,2257.01,2380.85,1325851.0,27.5
2021-06-13,2526.16,2528.39,2533.55,2307.26,2404.05,1325851.0,117.81
2021-06-14,2541.16,2542.5,2611.0,2420.47,2439.88,1774703.0,15.0
2021-06-15,2521.37,2522.92,2642.15,2503.81,2542.03,1414462.0,-19.79
2021-06-16,2398.8,2400.4,2567.15,2376.9,2521.37,1275239.0,-122.57
2021-06-17,2343.62,2345.23,2460.54,2303.85,2398.8,1177149.0,-55.18
2021-06-18,2194.82,2194.83,2380.0,2138.93,2343.17,1172534.0,-148.8
2021-06-19,2224.22,2225.96,2281.8,2168.27,2194.78,1172534.0,29.4
2021-06-20,2262.25,2262.3,2273.5,2040.56,2224.23,1172534.0,38.03
2021-06-21,1940.1,1940.74,2276.63,1890.22,2160.75,2213226.0,-322.15
2021-06-22,1930.34,1931.46,1998.15,1700.0,1940.1,1854605.0,-9.76
2021-06-23,1929.53,1930.34,2047.3,1822.52,1930.74,2144830.0,-0.81
2021-06-24,2004.12,2004.92,2035.25,1883.47,1929.19,1492653.0,74.59
2021-06-25,1866.46,1867.77,2022.25,1790.63,2004.39,1337858.0,-137.66
2021-06-26,1766.57,1766.82,1868.5,1717.0,1866.46,1337858.0,-99.89
2021-06-27,1816.58,1816.59,1894.21,1750.94,1765.79,1337858.0,50.01
2021-06-28,2130.78,2132.16,2146.4,1810.02,1819.09,1726499.0,314.2
2021-06-29,2191.02,2191.7,2246.09,2060.39,2131.54,1619751.0,60.24
2021-06-30,2237.31,2238.11,2286.02,2088.28,2191.02,1632972.0,46.29
2021-07-01,2119.94,2122.36,2292.0,2072.54,2237.31,1671926.0,-117.37
2021-07-02,2093.17,2093.18,2142.35,2017.26,2119.94,1783084.0,-26.77
2021-07-03,2219.28,2221.32,2240.85,2087.75,2090.89,1783084.0,126.11
2021-07-04,2350.76,2350.77,2374.95,2187.12,2219.31,1783084.0,131.48
2021-07-05,2215.96,2216.84,2389.37,2157.47,2354.53,1995605.0,-134.8
2021-07-06,2309.48,2310.15,2352.35,2193.4,2216.47,1682402.0,93.52
2021-07-07,2363.16,2364.2,2413.95,2273.45,2309.26,1160054.0,53.68
2021-07-08,2137.48,2139.29,2364.95,2125.81,2363.16,1321924.0,-225.68
2021-07-09,2134.73,2135.6,2189.11,2046.98,2137.49,1345682.0,-2.75
2021-07-10,2094.12,2095.55,2193.05,2075.0,2134.7,1345682.0,-40.61
2021-07-11,2128.59,2130.49,2155.58,2080.68,2094.72,1345682.0,34.47
2021-07-12,2027.17,2027.48,2173.07,2006.23,2142.9,1291320.0,-101.42
2021-07-13,1947.9,1947.95,2046.76,1914.32,2027.17,1278221.0,-79.27
2021-07-14,1987.92,1989.47,2019.74,1865.0,1946.65,1776752.0,40.02
2021-07-15,1926.26,1926.27,2041.5,1880.0,1988.35,1469840.0,-61.66
2021-07-16,1900.57,1902.59,1964.81,1848.48,1926.26,1447634.0,-25.69
2021-07-17,1899.01,1899.02,1921.3,1845.05,1900.58,1447634.0,-1.56
2021-07-18,1894.49,1894.81,1994.85,1877.34,1898.49,1447634.0,-4.52
2021-07-19,1819.77,1819.78,1928.69,1802.6,1900.0,1425837.0,-74.72
2021-07-20,1794.37,1794.38,1842.45,1717.17,1819.77,1419482.0,-25.4
2021-07-21,1946.02,1947.42,2034.0,1752.33,1793.98,1549601.0,151.65
2021-07-22,2016.05,2016.72,2048.95,1939.49,1945.79,1536781.0,70.03
2021-07-23,2040.73,2041.69,2094.75,1990.04,2015.56,1572327.0,24.68
2021-07-24,2154.24,2154.6,2199.99,2037.49,2040.73,1572327.0,113.51
2021-07-25,2157.55,2158.5,2196.42,2107.76,2153.62,1572327.0,3.31
2021-07-26,2265.29,2265.3,2433.36,2145.12,2157.28,1814342.0,107.74
2021-07-27,2243.61,2245.31,2320.92,2151.63,2265.29,1770202.0,-21.68
2021-07-28,2294.99,2295.89,2347.11,2240.06,2243.72,1597482.0,51.38
2021-07-29,2313.13,2313.14,2344.11,2265.56,2294.06,1137715.0,18.14
2021-07-30,2419.05,2420.84,2452.1,2304.16,2313.24,1329500.0,105.92
2021-07-31,2491.14,2492.75,2500.85,2413.38,2419.92,1329500.0,72.09
2021-08-01,2670.19,2671.84,2699.95,2489.55,2492.05,1329500.0,179.05
2021-08-02,2597.09,2598.24,2699.95,2507.31,2599.67,1546456.0,-73.1
2021-08-03,2484.32,2485.88,2637.45,2442.46,2597.1,2102761.0,-112.77
2021-08-04,2709.12,2711.4,2730.0,2456.35,2484.32,1495799.0,224.8
2021-08-05,2805.89,2806.48,2832.1,2528.63,2708.57,1432231.0,96.77
2021-08-06,2914.38,2915.88,2950.0,2720.07,2805.9,1373898.0,108.49
2021-08-07,3081.18,3083.21,3180.45,2865.34,2914.62,1373898.0,166.8
2021-08-08,2991.42,2992.89,3193.0,2947.55,3081.18,1373898.0,-89.76
2021-08-09,3068.61,3071.04,3196.45,2893.53,2976.51,1622753.0,77.19
2021-08-10,3156.95,3157.99,3237.8,3035.0,3068.61,1410386.0,88.34
2021-08-11,3235.87,3236.18,3276.95,3120.16,3157.56,1305466.0,78.92
2021-08-12,3067.91,3067.97,3243.65,2979.43,3234.87,1339252.0,-167.96
2021-08-13,3282.8,3284.11,3302.5,2986.85,3067.92,1151932.0,214.89
2021-08-14,3231.58,3232.44,3336.2,3205.85,3282.8,1151932.0,-51.22
2021-08-15,3262.29,3263.22,3292.35,3112.45,3231.58,1151932.0,30.71
2021-08-16,3163.94,3165.01,3343.45,3133.05,3194.92,1282754.0,-98.35
2021-08-17,3071.09,3073.46,3296.9,3013.11,3162.78,1408919.0,-92.85
2021-08-18,3007.1,3009.16,3127.45,2951.31,3071.09,1355759.0,-63.99
2021-08-19,3157.71,3159.65,3174.45,2957.9,3007.09,1579049.0,150.61
