Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2017-09-21,3649.0,3651.66,3965.71,3571.0,3954.65,64388.0,-306.41
2017-09-22,3610.01,3615.09,3761.84,3504.51,3649.0,60159.0,-38.99
2017-09-25,3926.46,3929.14,3966.81,3635.5,3673.04,68663.0,316.45
2017-09-26,3906.39,3906.72,3968.96,3850.61,3930.26,56363.0,-20.07
2017-09-27,4151.0,4153.71,4186.03,3869.5,3906.39,59837.0,244.61
2017-09-28,4166.3,4170.37,4269.9,4123.5,4151.0,57575.0,15.3
2017-09-29,4176.37,4180.84,4226.22,4015.32,4166.3,55344.0,10.07
2017-10-02,4385.01,4391.65,4454.28,4261.94,4271.41,47526.0,208.64
2017-10-03,4282.67,4286.45,4425.0,4218.0,4385.0,62412.0,-102.34
2017-10-04,4195.38,4201.14,4342.88,4170.07,4282.69,62303.0,-87.29
2017-10-05,4350.14,4352.15,4356.04,4137.66,4198.08,58832.0,154.76
2017-10-06,4330.03,4336.33,4422.0,4278.4,4350.14,59303.0,-20.11
2017-10-09,4827.65,4836.82,4861.3,4525.92,4549.69,70500.0,497.62
2017-10-10,4861.46,4865.86,4909.96,4713.81,4812.21,61197.0,33.81
2017-10-11,4824.0,4824.02,4874.99,4700.0,4874.99,63413.0,-37.46
2017-10-12,5300.11,5308.33,5387.0,4787.08,4824.01,61206.0,476.11
2017-10-13,5603.9,5612.0,5864.73,5265.07,5300.14,59367.0,303.79
2017-10-16,5675.01,5678.05,5750.0,5455.05,5495.0,67811.0,71.11
2017-10-17,5566.09,5574.99,5805.0,5506.78,5675.01,61626.0,-108.92
2017-10-18,5508.1,5513.69,5600.2,5101.36,5573.09,53766.0,-57.99
2017-10-19,5696.77,5698.0,5734.99,5482.41,5508.12,58998.0,188.67
2017-10-20,5955.61,5966.77,6072.73,5554.32,5696.54,48884.0,258.84
2017-10-23,5907.12,5913.59,6056.79,5617.75,5981.91,61750.0,-48.49
2017-10-24,5592.86,5596.99,5933.76,5534.32,5907.0,61219.0,-314.26
2017-10-25,5674.84,5679.75,5699.15,5360.0,5590.41,59599.0,81.98
2017-10-26,5847.91,5849.0,5987.11,5635.77,5673.55,58202.0,173.07
2017-10-27,5742.93,5748.71,5994.05,5680.01,5839.66,59552.0,-104.98
2017-10-30,6096.5,6098.0,6310.0,5940.0,5945.06,67669.0,353.57
2017-10-31,6362.52,6366.97,6415.28,6072.81,6097.14,58708.0,266.02
2017-11-01,6559.97,6569.66,6630.0,6340.02,6362.52,55553.0,197.45
2017-11-02,7038.28,7049.92,7352.0,6555.51,6560.07,56337.0,478.31
2017-11-03,7227.01,7228.12,7480.0,6925.01,7038.29,55628.0,188.73
2017-11-06,7129.05,7132.93,7578.13,6927.85,7516.73,67471.0,-97.96
2017-11-07,7060.44,7073.84,7244.17,6922.07,7123.69,58108.0,-68.61
2017-11-08,7257.6,7261.66,7887.99,7041.0,7070.93,55978.0,197.16
2017-11-09,7119.97,7130.0,7502.48,7054.21,7257.6,52363.0,-137.63
2017-11-10,6461.0,6466.72,7342.79,6420.34,7120.01,55949.0,-658.97
2017-11-13,6476.34,6480.31,6799.22,5605.0,6093.79,64517.0,15.34
2017-11-14,6600.0,6607.39,6747.01,6426.02,6491.12,60620.0,123.66
2017-11-15,7292.75,7300.91,7349.99,6541.0,6591.2,49306.0,692.75
2017-11-16,7886.0,7886.88,7894.9,7120.28,7300.01,56872.0,593.25
2017-11-17,7692.71,7699.89,7999.98,7527.95,7886.0,57403.0,-193.29
2017-11-20,8247.03,8248.99,8267.89,7890.06,7960.01,64355.0,554.32
2017-11-21,8127.13,8134.52,8356.99,7765.0,8247.42,56714.0,-119.9
2017-11-22,8210.11,8210.12,8309.94,7935.0,8129.43,52574.0,82.98
2017-11-23,8161.33,8169.51,8283.99,8068.79,8210.12,59491.0,-48.78
2017-11-24,8227.97,8235.28,8339.4,7876.0,8157.12,56824.0,66.64
2017-11-27,9625.0,9638.82,9720.0,8980.0,9272.99,68366.0,1397.03
2017-11-28,9937.3,9938.99,9968.41,9554.75,9625.0,50988.0,312.3
2017-11-29,10203.97,10204.98,11390.0,8988.18,9937.3,48832.0,266.67
2017-11-30,9700.0,9701.67,10790.0,8897.06,10252.8,53535.0,-503.97
2017-12-01,10790.0,10790.01,10857.0,9361.21,9628.45,46853.0,1090.0
2017-12-04,11455.06,11470.98,11799.98,10283.94,11641.01,64415.0,665.06
2017-12-05,11751.8,11771.9,11864.0,11384.26,11455.06,50264.0,296.74
2017-12-06,13198.98,13199.99,13200.0,11635.0,11772.49,52029.0,1447.18
2017-12-07,15651.03,15699.98,16263.72,13105.03,13193.0,51462.0,2452.05
2017-12-08,15589.02,15630.0,17156.94,13620.0,16044.19,52780.0,-62.01
2017-12-11,16952.48,16968.46,17421.83,14029.86,14919.37,63114.0,1363.46
2017-12-12,17025.01,17033.98,17592.52,15967.29,17202.76,50145.0,72.53
2017-12-13,16480.05,16480.69,17567.52,15497.69,17025.01,56741.0,-544.96
2017-12-14,16288.51,16329.92,17110.22,15852.69,16415.55,57398.0,-191.54
2017-12-15,17389.22,17399.0,17930.0,16213.88,16514.43,57171.0,1100.71
2017-12-18,18690.0,18700.0,19458.19,17835.21,19050.0,65562.0,1300.78
2017-12-19,17067.7,17099.89,19106.84,16716.76,18690.0,57315.0,-1622.3
2017-12-20,16250.0,16251.07,17943.14,15811.0,16989.02,61858.0,-817.7
2017-12-21,15715.11,15715.14,17280.0,15005.0,16250.0,58393.0,-534.89
2017-12-22,14408.77,14437.72,15850.03,10800.38,15690.0,49860.0,-1306.34
2017-12-25,13844.24,13849.82,14663.65,12622.0,13100.0,65547.0,-564.53
2017-12-26,15861.02,15865.99,16145.0,13606.0,13774.76,57120.0,2016.78
2017-12-27,15101.14,15110.0,16499.6,14484.0,15861.03,61755.0,-759.88
2017-12-28,13925.1,13932.97,15488.0,13500.0,15187.91,60677.0,-1176.04
2017-12-29,14355.81,14405.98,15448.31,13866.82,13901.0,57932.0,430.71
2018-01-01,13500.75,13534.75,14260.0,12801.62,13921.22,63489.0,-855.06
2018-01-02,14767.66,14802.0,15303.62,12910.58,13500.75,58004.0,1266.91
2018-01-03,15027.05,15074.97,15401.76,14538.55,14780.86,56505.0,259.39
2018-01-04,14893.34,14900.0,15429.11,14174.73,15027.1,58810.0,-133.71
2018-01-05,16555.04,16563.03,16571.03,14809.0,14949.47,53151.0,1661.7
2018-01-08,14938.37,14960.41,16500.0,13905.0,15850.01,68118.0,-1616.67
2018-01-09,14510.13,14515.0,15376.52,14132.22,14938.37,55570.0,-428.24
2018-01-10,14491.36,14524.7,14748.45,13412.0,14510.14,60173.0,-18.77
2018-01-11,13463.52,13466.53,14985.6,12801.0,14505.06,57907.0,-1027.84
2018-01-12,13763.0,13774.36,14150.0,12807.27,13464.11,54000.0,299.48
2018-01-13,14170.41,14188.03,14569.08,13568.64,13763.0,58231.0,407.41
2018-01-14,13500.04,13519.99,14365.8,13052.12,14170.43,43853.0,-670.37
2018-01-15,13939.58,13953.13,14382.01,13288.83,13500.04,66411.0,439.54
2018-01-16,10753.3,10761.12,13951.79,10339.66,13918.91,54310.0,-3186.28
