Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
05-May-2016,448.50,449.28,449.60,445.11,446.66,"9,793",+1.96
04-May-2016,446.54,447.36,451.45,444.17,450.42,"10,043",-3.84
03-May-2016,450.38,451.18,451.97,440.78,443.62,"9,247",+6.76
02-May-2016,443.62,444.33,452.58,438.38,452.14,"9,408",-8.41
01-May-2016,452.03,452.99,453.31,446.54,447.73,"8,376",+4.30
30-Apr-2016,447.73,448.43,456.88,446.50,456.31,"9,688",-7.65
29-Apr-2016,455.38,456.32,456.31,445.74,449.17,"8,522",+6.10
28-Apr-2016,449.28,449.97,450.63,435.00,445.03,"9,194",+4.25
27-Apr-2016,445.03,445.39,468.50,443.20,466.58,"8,594",-21.55
26-Apr-2016,466.58,467.40,469.84,462.26,462.26,"8,990",+4.32
25-Apr-2016,462.26,462.70,468.97,455.13,460.02,"9,161",+2.24
24-Apr-2016,460.02,460.03,470.00,448.50,451.92,"7,986",+8.10
23-Apr-2016,451.92,451.93,452.10,444.47,447.16,"8,245",+4.87
22-Apr-2016,447.05,447.07,451.23,442.96,450.62,"9,714",-3.57
21-Apr-2016,450.62,450.63,452.08,440.00,441.04,"9,421",+9.61
20-Apr-2016,441.01,442.13,443.98,433.14,435.17,"9,227",+5.89
19-Apr-2016,435.12,435.85,436.59,426.20,427.63,"9,270",+7.76
18-Apr-2016,427.36,428.13,430.00,425.77,426.24,"9,416",+1.12
17-Apr-2016,426.24,427.48,430.89,424.24,429.43,"7,891",-3.36
16-Apr-2016,429.60,430.69,432.84,427.18,428.82,"8,274",+0.15
15-Apr-2016,429.45,429.48,429.78,423.09,424.26,"10,755",+5.20
14-Apr-2016,424.25,424.83,425.15,420.76,423.58,"10,313",+0.69
13-Apr-2016,423.56,423.94,425.99,422.37,425.32,"10,518",-1.34
12-Apr-2016,424.90,425.80,426.67,421.58,422.70,"10,520",+2.21
11-Apr-2016,422.69,422.80,422.79,418.00,420.04,"11,896",+2.66
10-Apr-2016,420.03,420.60,421.64,417.20,418.16,"8,890",+1.98
09-Apr-2016,418.05,418.59,418.50,412.00,417.34,"10,218",+0.60
08-Apr-2016,417.45,418.02,423.89,416.26,419.99,"11,106",-2.51
07-Apr-2016,419.96,420.00,421.98,418.22,421.03,"11,367",-1.07
06-Apr-2016,421.03,421.62,422.80,420.00,422.65,"11,224",-1.61
05-Apr-2016,422.64,422.67,422.64,418.20,418.75,"10,039",+3.89
